
System_TestNTPEnableConfig/configreplace//system/ntp/config/enabled,REPLACE,PASSED,/system/ntp,2022-05-10 20:28:11
System_TestNTPEnableConfig/configupdate//system/ntp/config/enabled,UPDATE,PASSED,/system/ntp,2022-05-10 20:28:11
System_TestNTPEnableConfig/configdelete//system/ntp/config/enabled,DELETE,PASSED,/system/ntp,2022-05-10 20:28:11
System_TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,FAILED,/system/ntp,2022-05-10 20:28:12
System_TestNTPEnableConfig/configreplace//system/ntp/config/enabled,REPLACE,PASSED,/system/ntp,2022-05-10 20:31:25
System_TestNTPEnableConfig/configupdate//system/ntp/config/enabled,UPDATE,PASSED,/system/ntp,2022-05-10 20:31:25
System_TestNTPEnableConfig/configdelete//system/ntp/config/enabled,DELETE,PASSED,/system/ntp,2022-05-10 20:31:26
System_TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,FAILED,/system/ntp,2022-05-10 20:31:26
System_TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,FAILED,/system/ntp,2022-05-10 20:32:24
System_TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,FAILED,/system/ntp,2022-05-10 20:34:46
System_TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,FAILED,/system/ntp,2022-05-10 20:37:23
System_TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,FAILED,/system/ntp,2022-05-10 20:47:09
System_TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,FAILED,/system/ntp,2022-05-11 11:31:18
System_TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,PASSED,/system/ntp,2022-05-11 11:33:15
System_TestNTPEnableConfig/configreplace//system/ntp/config/enabled,REPLACE,PASSED,/system/ntp,2022-05-11 11:39:42
System_TestNTPEnableConfig/configupdate//system/ntp/config/enabled,UPDATE,PASSED,/system/ntp,2022-05-11 11:39:42
System_TestNTPEnableConfig/configdelete//system/ntp/config/enabled,DELETE,PASSED,/system/ntp,2022-05-11 11:39:42
System_TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,PASSED,/system/ntp,2022-05-11 11:39:43
System,TestSSSHServerEnableConfig/configreplace//system/ssh-server/config/enable,REPLACE,PASSED,/system/ssh-server/config/enable,2022-05-11 15:42:01
System,TestSSSHServerEnableConfig/configupdate//system/ssh-server/config/enable,UPDATE,PASSED,/system/ssh-server/config/enable,2022-05-11 15:42:05
System,TestSSSHServerEnableConfig/configdelete//system/ssh-server/config/enable,DELETE,PASSED,/system/ssh-server/config/enable,2022-05-11 15:42:08
System,TestSSSHServerEnableConfig/configreplace//system/ssh-server/config/enable,REPLACE,PASSED,/system/ssh-server/config/enable,2022-05-11 15:43:18
System,TestSSSHServerEnableConfig/configupdate//system/ssh-server/config/enable,UPDATE,PASSED,/system/ssh-server/config/enable,2022-05-11 15:43:21
System,TestSSSHServerEnableConfig/configdelete//system/ssh-server/config/enable,DELETE,PASSED,/system/ssh-server/config/enable,2022-05-11 15:43:25
System,TestSSSHServerEnableConfig/configreplace//system/ssh-server/config/enable,REPLACE,PASSED,/system/ssh-server/config/enable,2022-05-11 15:57:06
System,TestSSSHServerEnableConfig/configupdate//system/ssh-server/config/enable,UPDATE,PASSED,/system/ssh-server/config/enable,2022-05-11 15:57:10
System,TestSSSHServerEnableConfig/configdelete//system/ssh-server/config/enable,DELETE,PASSED,/system/ssh-server/config/enable,2022-05-11 15:57:13
System,TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,PASSED,/system/ssh-server/config/enable,2022-05-11 15:57:17
System,TestNTPEnableConfig/configreplace//system/ntp/config/enabled,REPLACE,PASSED,/system/ntp/config/enabled,2022-05-11 15:59:57
System,TestNTPEnableConfig/configupdate//system/ntp/config/enabled,UPDATE,PASSED,/system/ntp/config/enabled,2022-05-11 15:59:58
System,TestNTPEnableConfig/configdelete//system/ntp/config/enabled,DELETE,PASSED,/system/ntp/config/enabled,2022-05-11 15:59:58
System,TestNTPEnableState/state//system/ntp/config/enabled,SUBSCRIBE,PASSED,/system/ntp,2022-05-11 15:59:59
System,TestSSSHServerEnableConfig/configreplace//system/ssh-server/config/enable,REPLACE,PASSED,/system/ssh-server/config/enable,2022-05-11 16:00:02
